Date,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Time Zone,Population,Population Density,Longitude,Latitude
2021-05-01,124,2,118,4,11169,441,9728,1000,Province,Aceh,Indonesia,Asia,UTC+07:00,5247257,90.54,96.91052174,4.225614628
2021-05-01,142,10,165,-33,44813,1346,42135,1332,Province,Bali,Indonesia,Asia,UTC+08:00,4216171,729.43,115.1317136,-8.369471688
2021-05-01,53,0,28,25,47396,1210,44239,1947,Province,Banten,Indonesia,Asia,UTC+07:00,10722374,1109.64,106.1090043,-6.456736388
2021-05-01,102,0,40,62,6884,172,5884,828,Province,Bengkulu,Indonesia,Asia,UTC+07:00,1999539,100.38,102.3384213,-3.533583627
2021-05-01,926,15,793,118,409540,6681,395761,7098,Province,DKI Jakarta,Indonesia,Asia,UTC+07:00,10846145,16334.31,106.8361183,-6.204698991
2021-05-01,128,4,330,-206,39644,960,34736,3948,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,UTC+07:00,3631015,1158.9,110.4448783,-7.89450185
2021-05-01,6,4,49,-47,5399,165,5078,156,Province,Gorontalo,Indonesia,Asia,UTC+08:00,1180651,104.88,122.3760581,0.687002604
2021-05-01,4512,131,4344,37,1672880,45652,1526978,100250,Country,,Indonesia,Asia,,265185520,138.34,113.921327,-0.789275
2021-05-01,60,3,50,7,7730,114,6219,1397,Province,Jambi,Indonesia,Asia,UTC+07:00,3493357,69.79,102.7236404,-1.69769766
2021-05-01,782,6,590,186,283457,3770,248401,31286,Province,Jawa Barat,Indonesia,Asia,UTC+07:00,45161325,1276.55,107.6037083,-6.920432083
2021-05-01,202,20,231,-49,184970,8436,165674,10860,Province,Jawa Tengah,Indonesia,Asia,UTC+07:00,36364072,1108.64,110.2011149,-7.259097177
2021-05-01,231,20,202,9,147959,10713,135321,1925,Province,Jawa Timur,Indonesia,Asia,UTC+07:00,40479023,846.78,112.7329414,-7.723345579
2021-05-01,98,0,68,30,7836,44,6827,965,Province,Kalimantan Barat,Indonesia,Asia,UTC+07:00,5422814,36.81,111.1211776,-0.086474572
2021-05-01,88,4,99,-15,33046,945,29939,2162,Province,Kalimantan Selatan,Indonesia,Asia,UTC+08:00,4023049,103.84,115.4385783,-2.993594979
2021-05-01,108,1,12,95,20179,449,16993,2737,Province,Kalimantan Tengah,Indonesia,Asia,UTC+07:00,2570289,16.74,113.4176536,-1.602484653
2021-05-01,137,1,192,-56,68764,1641,65387,1736,Province,Kalimantan Timur,Indonesia,Asia,UTC+08:00,3552191,27.52,116.4684405,0.45385803
2021-05-01,7,0,7,0,11752,186,11034,532,Province,Kalimantan Utara,Indonesia,Asia,UTC+08:00,648407,8.59,116.2188791,2.891012621
2021-05-01,200,2,142,56,13646,213,11747,1686,Province,Kepulauan Bangka Belitung,Indonesia,Asia,UTC+07:00,1379767,84.01,106.5499324,-2.447444127
2021-05-01,180,1,111,68,11355,257,9752,1346,Province,Kepulauan Riau,Indonesia,Asia,UTC+07:00,1929400,235.24,108.261746,3.916346
2021-05-01,66,0,35,31,16041,816,13927,1298,Province,Lampung,Indonesia,Asia,UTC+07:00,9095591,262.7,105.0214366,-4.916792975
2021-05-01,0,0,3,-3,7530,118,7131,281,Province,Maluku,Indonesia,Asia,UTC+09:00,1847097,39.37,129.576792,-3.192572
2021-05-01,0,0,0,0,4417,120,4147,150,Province,Maluku Utara,Indonesia,Asia,UTC+09:00,1307803,40.89,127.5391072,0.212036949
2021-05-01,18,0,35,-17,10459,379,7877,2203,Province,Nusa Tenggara Barat,Indonesia,Asia,UTC+08:00,5270247,283.77,117.5086257,-8.606998866
2021-05-01,31,0,20,11,14384,374,12562,1448,Province,Nusa Tenggara Timur,Indonesia,Asia,UTC+08:00,5411321,111.07,121.592271,-8.682205
2021-05-01,0,0,9,-9,20365,260,11326,8779,Province,Papua,Indonesia,Asia,UTC+09:00,4340348,13.6,138.69603,-4.66620953
2021-05-01,32,0,32,0,8974,151,8547,276,Province,Papua Barat,Indonesia,Asia,UTC+09:00,1140701,11.08,132.9762624,-2.045160182
2021-05-01,377,15,333,29,44654,1100,38653,4901,Province,Riau,Indonesia,Asia,UTC+07:00,6074100,69.8,101.8051092,0.511647851
2021-05-01,3,0,0,3,5450,118,5253,79,Province,Sulawesi Barat,Indonesia,Asia,UTC+08:00,1559984,92.93,119.3450194,-2.461746053
